system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02732] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02733] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02734] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02735] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02736] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02737] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02738] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02740] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02741] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02742] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02743] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02744] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02745] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02746] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02747] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02748] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02749] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02750] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02751] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02752] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02754] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02755] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02756] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02757] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02758] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02760] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02761] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02762] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02763] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02764] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02765] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02766] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02767] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02768] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02769] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02770] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02771] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02772] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02773] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02774] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02775] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02777] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02778] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02779] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02780] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02781] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.02782] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02783] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02784] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02785] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02786] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02787] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02788] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02789] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02790] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02791] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02793] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02794] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02795] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02796] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02797] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02798] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02799] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02800] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02801] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02802] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02804] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02806] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02807] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02808] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02809] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02810] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02814] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02816] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02817] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02818] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02819] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02820] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02821] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02823] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02824] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02825] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02826] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02827] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02828] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02829] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02830] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02831] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02833] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02834] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02835] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02836] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02837] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02838] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02839] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02840] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02841] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02842] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02843] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02844] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02845] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02846] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02847] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02848] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02849] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02851] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02852] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02854] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02855] Score is : 721
